identifier,sp_in_embedding,sequence_source,sequence_length_used,major_group,cysteine_group
A0A898INL0,yes,full_seq,78,Short-chain,Short-chain
A0A898INL5,yes,full_seq,81,Short-chain,Short-chain
A0A898INM0,yes,full_seq,79,Short-chain,Short-chain
A0A898INM6,yes,full_seq,76,Short-chain,Short-chain
A0A898IPF7,yes,full_seq,74,Short-chain,Short-chain
A0A898IPI9,yes,full_seq,81,Short-chain,Short-chain
A0A898IPK1,yes,full_seq,79,Short-chain,Short-chain
A0A898IPK7,yes,full_seq,78,Short-chain,Short-chain
A0A898IPL1,yes,full_seq,76,Short-chain,Short-chain
A0A898IPM2,yes,full_seq,76,Short-chain,Short-chain
A0A898IPM8,yes,full_seq,74,Short-chain,Short-chain
A0A898IPN0,yes,full_seq,76,Short-chain,Short-chain
A0A898IPN2,yes,full_seq,79,Short-chain,Short-chain
A0A898IPN4,yes,full_seq,81,Short-chain,Short-chain
A0A898IPN6,yes,full_seq,81,Short-chain,Short-chain
A0A898IPP1,yes,full_seq,81,Short-chain,Short-chain
A0A898IPP4,yes,full_seq,84,Short-chain,Short-chain
P0DL82,no,mature_seq_fallback,57,Short-chain,Short-chain
P84716,no,mature_seq_fallback,61,Short-chain,Short-chain
None|Chmy_12|Chelonia_mydas,yes,full_seq,109,Ly-6,Ly-6
None|Chmy_3|Chelonia_mydas,yes,full_seq,127,Ly-6,Ly-6
None|Chmy_1|Chelonia_mydas,no,mature_seq_fallback,104,Ly-6,Ly-6
None|Chmy_6|Chelonia_mydas,yes,full_seq,164,Ly-6,Ly-6
None|Chmy_4|Chelonia_mydas,no,mature_seq_fallback,105,Ly-6,Ly-6
None|Chmy_5|Chelonia_mydas,yes,full_seq,125,Ly-6,Ly-6
None|Chmy_7|Chelonia_mydas,yes,full_seq,114,Ly-6,Ly-6
None|Chmy_10|Chelonia_mydas,yes,full_seq,126,Ly-6,Ly-6
None|Chmy_11|Chelonia_mydas,yes,full_seq,126,Ly-6,Ly-6
None|Chmy_9|Chelonia_mydas,yes,full_seq,123,Ly-6,Ly-6
None|Chmy_13|Chelonia_mydas,no,mature_seq_fallback,107,Ly-6,Ly-6
None|Chmy_2|Chelonia_mydas,yes,full_seq,125,Ly-6,Ly-6
P83490,no,mature_seq_fallback,77,Plesiotypic,Plesiotypic
NCBI|CONLI_GJFD01001950.1_49_315|Conophis_lineatus,no,mature_seq_fallback,87,Plesiotypic,Plesiotypic
A0A1W7RBC9,yes,full_seq,85,Plesiotypic,Plesiotypic
A0A1W7RBD9,yes,full_seq,86,Plesiotypic,Plesiotypic
NCBI|CROCE_GGMJ01000004.1_1_267|Crotalus_cerastes,no,mature_seq_fallback,68,Non-standard,Non-standard
NCBI|CROCE_GGMJ01000005.1_1_252|Crotalus_cerastes,no,mature_seq_fallback,63,Plesiotypic,Plesiotypic
NCBI|CROSC_GGIP01000025.1_1_252|Crotalus_scutulatus,yes,full_seq,85,Plesiotypic,Plesiotypic
NCBI|CROTI_XR_005557464.1_96_332|Crotalus_tigris,no,mature_seq_fallback,58,Non-standard,Short-chain
NCBI|CROTI_XR_005555300.1_149_355|Crotalus_tigris,no,mature_seq_fallback,62,Non-standard,Short-chain
NCBI|CROTI_XR_005557461.1_417_620|Crotalus_tigris,no,mature_seq_fallback,62,Non-standard,Short-chain
NCBI|CROTI_XM_039332036.1_300_557|Crotalus_tigris,yes,full_seq,86,Plesiotypic,Plesiotypic
NCBI|CROTI_XR_005555304.1_268_468|Crotalus_tigris,no,mature_seq_fallback,60,Plesiotypic,Plesiotypic
NCBI|CROTI_XM_039332037.1_103_360|Crotalus_tigris,yes,full_seq,86,Plesiotypic,Plesiotypic
NCBI|CROTI_XM_039332038.1_21_260|Crotalus_tigris,yes,full_seq,80,Plesiotypic,Plesiotypic
NCBI|CROTI_XR_005555302.1_67_312|Crotalus_tigris,no,mature_seq_fallback,61,Plesiotypic,Plesiotypic
None|Cvir_PDHV02000188_1_35190_37247_mka|Crotalus_viridis,yes,full_seq,82,Non-standard,Short-chain
None|Cvir_PDHV02000066_1_88429_90401|Crotalus_viridis,yes,full_seq,85,Non-standard,Plesiotypic
A8HDJ7,yes,full_seq,81,Short-chain,Short-chain
A8HDJ8,yes,full_seq,81,Short-chain,Short-chain
M9SZR1,yes,full_seq,82,Non-standard,Plesiotypic
None|Dacu_scaffold1201_gene_1_mRNA_6|Deinagkistrodon_acutus,yes,full_seq,90,Ly-6,Plesiotypic
None|Dacu_scaffold1201_gene_1_mRNA_4_mka|Deinagkistrodon_acutus,yes,full_seq,84,Plesiotypic,Plesiotypic
None|Dacu_scaffold2000_gene_1_mRNA_1|Deinagkistrodon_acutus,yes,full_seq,81,Plesiotypic,Plesiotypic
None|Dacu_scaffold1201_gene_1_mRNA_1_mka|Deinagkistrodon_acutus,yes,full_seq,82,Plesiotypic,Plesiotypic
None|Dacu_scaffold1201_gene_1_mRNA_2_mka|Deinagkistrodon_acutus,yes,full_seq,80,Plesiotypic,Plesiotypic
None|Dacu_scaffold1201_gene_1_mRNA_3_mka|Deinagkistrodon_acutus,yes,full_seq,81,Plesiotypic,Plesiotypic
None|Dacu_scaffold1201_gene_1_mRNA_5_mka|Deinagkistrodon_acutus,yes,full_seq,82,Plesiotypic,Plesiotypic
A6MFK4,yes,full_seq,88,Long-chain,Long-chain
A6MFK5,yes,full_seq,88,Non-standard,Non-standard
A6MFK6,yes,full_seq,84,Short-chain,Short-chain
C0HJB0,no,mature_seq_fallback,69,Short-chain,Short-chain
C0HJT4,no,mature_seq_fallback,63,Non-standard,Non-standard
P01404,yes,full_seq,81,Short-chain,Short-chain
P01408,no,mature_seq_fallback,63,Non-standard,Non-standard
P01409,no,mature_seq_fallback,63,Non-standard,Non-standard
P01410,no,mature_seq_fallback,62,Non-standard,Non-standard
P01411,no,mature_seq_fallback,62,Non-standard,Non-standard
P0C1Y9,no,mature_seq_fallback,61,Short-chain,Short-chain
P0C1Z0,no,mature_seq_fallback,61,Short-chain,Short-chain
P17696,yes,full_seq,86,Short-chain,Short-chain
P18328,yes,full_seq,86,Short-chain,Short-chain
P18329,yes,full_seq,80,Short-chain,Short-chain
P25684,no,mature_seq_fallback,60,Short-chain,Short-chain
P60234,no,mature_seq_fallback,65,Short-chain,Short-chain
P60237,no,mature_seq_fallback,63,Short-chain,Short-chain
P81030,no,mature_seq_fallback,66,Short-chain,Short-chain
P81031,no,mature_seq_fallback,65,Short-chain,Short-chain
P81946,no,mature_seq_fallback,59,Non-standard,Non-standard
P85092,no,mature_seq_fallback,65,Short-chain,Short-chain
P86419,no,mature_seq_fallback,66,Short-chain,Short-chain
Q8QGR0,yes,full_seq,86,Short-chain,Short-chain
Q9PSN1,no,mature_seq_fallback,66,Short-chain,Short-chain
NCBI|Dendroaspis_angusticeps_GILR01002080|Dendroaspis_angusticeps,no,mature_seq_fallback,65,Non-standard,Plesiotypic
NCBI|Dendroaspis_angusticeps_GILR01002482|Dendroaspis_angusticeps,no,mature_seq_fallback,65,Plesiotypic,Plesiotypic
P0DQP2,no,mature_seq_fallback,65,Short-chain,Short-chain
NCBI|DENJA_GHPA01002461.1_C321_136|Dendroaspis_jamesoni_jamesoni,no,mature_seq_fallback,63,Non-standard,Short-chain
NCBI|DENJA_GHPA01003914.1_C250_53|Dendroaspis_jamesoni_jamesoni,no,mature_seq_fallback,65,Short-chain,Short-chain
NCBI|Dendroaspis_jamesoni_jamesoni_GHPA01000962|Dendroaspis_jamesoni_jamesoni,no,mature_seq_fallback,63,Plesiotypic,Plesiotypic
NCBI|DENJA_GHPA01003912.1_C199_11|Dendroaspis_jamesoni_jamesoni,no,mature_seq_fallback,63,Plesiotypic,Plesiotypic
NCBI|DENJA_GHPA01000569.1_C862_620|Dendroaspis_jamesoni_jamesoni,no,mature_seq_fallback,60,Short-chain,Short-chain
NCBI|DENJA_GHPA01001858.1_C359_156|Dendroaspis_jamesoni_jamesoni,no,mature_seq_fallback,68,Short-chain,Short-chain
NCBI|DENJA_GHPA01001931.1_C348_130|Dendroaspis_jamesoni_jamesoni,no,mature_seq_fallback,73,Non-standard,Long-chain
P01393,no,mature_seq_fallback,72,Long-chain,Long-chain
P01406,no,mature_seq_fallback,60,Short-chain,Short-chain
P01407,no,mature_seq_fallback,62,Non-standard,Non-standard
P01413,no,mature_seq_fallback,61,Non-standard,Non-standard
P01417,no,mature_seq_fallback,60,Short-chain,Short-chain
P01419,no,mature_seq_fallback,58,Short-chain,Short-chain
P25682,no,mature_seq_fallback,63,Plesiotypic,Plesiotypic
P25683,no,mature_seq_fallback,60,Short-chain,Short-chain
P28375,no,mature_seq_fallback,59,Non-standard,Non-standard
NCBI|DENJA_GHPB01001485.1_C349_161|Dendroaspis_jamesoni_kaimosae,no,mature_seq_fallback,63,Non-standard,Short-chain
NCBI|DENJA_GHPB01001718.1_C417_160|Dendroaspis_jamesoni_kaimosae,no,mature_seq_fallback,65,Short-chain,Short-chain
NCBI|DENJA_GHPB01001432.1_C457_203|Dendroaspis_jamesoni_kaimosae,no,mature_seq_fallback,64,Short-chain,Short-chain
NCBI|DENJA_GHPB01001482.1_C448_212|Dendroaspis_jamesoni_kaimosae,no,mature_seq_fallback,58,Short-chain,Short-chain
NCBI|DENJA_GHPB01001397.1_C449_192|Dendroaspis_jamesoni_kaimosae,no,mature_seq_fallback,65,Long-chain,Long-chain
None|Dendroaspis_polylepis_T2720|Dendroaspis_polylepis,no,mature_seq_fallback,65,Plesiotypic,Plesiotypic
A0A4P1LYC9,no,mature_seq_fallback,57,Short-chain,Short-chain
C0HJD7,no,mature_seq_fallback,72,Long-chain,Long-chain
P01396,no,mature_seq_fallback,72,Long-chain,Long-chain
P01397,no,mature_seq_fallback,72,Long-chain,Long-chain
P01414,no,mature_seq_fallback,60,Short-chain,Short-chain
P01416,no,mature_seq_fallback,60,Short-chain,Short-chain
P0DKR6,yes,full_seq,78,Short-chain,Short-chain
P0DKS3,no,mature_seq_fallback,57,Short-chain,Short-chain
P22947,no,mature_seq_fallback,60,Short-chain,Short-chain
P25518,no,mature_seq_fallback,65,Short-chain,Short-chain
P25667,no,mature_seq_fallback,72,Long-chain,Long-chain
P25681,no,mature_seq_fallback,61,Short-chain,Short-chain
P80494,no,mature_seq_fallback,66,Short-chain,Short-chain
P80495,no,mature_seq_fallback,65,Short-chain,Short-chain
P01394,no,mature_seq_fallback,72,Long-chain,Long-chain
P01395,no,mature_seq_fallback,73,Long-chain,Long-chain
P01405,no,mature_seq_fallback,60,Short-chain,Short-chain
P01418,no,mature_seq_fallback,60,Short-chain,Short-chain
NCBI|DENVI_GHPC01000454.1_C741_505|Dendroaspis_viridis,no,mature_seq_fallback,58,Non-standard,Non-standard
NCBI|DENVI_GHPC01002751.1_C265_29|Dendroaspis_viridis,no,mature_seq_fallback,58,Non-standard,Non-standard
NCBI|DENVI_GHPC01001497.1_C400_161|Dendroaspis_viridis,no,mature_seq_fallback,59,Short-chain,Short-chain
NCBI|DENVI_GHPC01001446.1_C417_214|Dendroaspis_viridis,no,mature_seq_fallback,68,Short-chain,Short-chain
NCBI|DENVI_GHPC01000299.1_C401_210|Dendroaspis_viridis,no,mature_seq_fallback,64,Non-standard,Non-standard
NCBI|DENVI_GHPC01001450.1_C441_235|Dendroaspis_viridis,no,mature_seq_fallback,68,Short-chain,Short-chain
NCBI|DENVI_GHPC01000122.1_C1190_987|Dendroaspis_viridis,no,mature_seq_fallback,66,Short-chain,Short-chain
NCBI|DENVI_GHPC01000776.1_C544_326|Dendroaspis_viridis,no,mature_seq_fallback,73,Short-chain,Short-chain
NCBI|DENVI_GHPC01002655.1_C305_51|Dendroaspis_viridis,no,mature_seq_fallback,64,Short-chain,Short-chain
NCBI|DENVI_GHPC01002805.1_C272_78|Dendroaspis_viridis,no,mature_seq_fallback,64,Short-chain,Short-chain
NCBI|DENVI_GHPC01003084.1_C271_53|Dendroaspis_viridis,no,mature_seq_fallback,73,Non-standard,Short-chain
NCBI|DENVI_GHPC01003265.1_C223_17|Dendroaspis_viridis,no,mature_seq_fallback,69,Short-chain,Short-chain
NCBI|DENVI_GHPC01002163.1_C239_108|Dendroaspis_viridis,no,mature_seq_fallback,46,Non-standard,Non-standard
NCBI|Dendroaspis_viridis_GHPC01002050|Dendroaspis_viridis,no,mature_seq_fallback,65,Plesiotypic,Plesiotypic
NCBI|Dendroaspis_viridis_GHPC01002196|Dendroaspis_viridis,no,mature_seq_fallback,63,Plesiotypic,Plesiotypic
NCBI|DENVI_GHPC01002119.1_C301_116|Dendroaspis_viridis,no,mature_seq_fallback,80,Plesiotypic,Plesiotypic
NCBI|DENVI_GHPC01001754.1_C391_149|Dendroaspis_viridis,no,mature_seq_fallback,60,Short-chain,Short-chain
NCBI|DENVI_GHPC01000454.1_C275_21|Dendroaspis_viridis,no,mature_seq_fallback,64,Short-chain,Short-chain
NCBI|DENVI_GHPC01000912.1_C482_285|Dendroaspis_viridis,no,mature_seq_fallback,66,Short-chain,Short-chain
NCBI|DENVI_GHPC01001280.1_C467_210|Dendroaspis_viridis,no,mature_seq_fallback,65,Short-chain,Short-chain
NCBI|DENVI_GHPC01001797.1_C357_163|Dendroaspis_viridis,no,mature_seq_fallback,64,Short-chain,Short-chain
NCBI|DENVI_GHPC01001205.1_C457_203|Dendroaspis_viridis,no,mature_seq_fallback,64,Long-chain,Long-chain
NCBI|DENVI_GHPC01001404.1_C400_188|Dendroaspis_viridis,no,mature_seq_fallback,71,Long-chain,Long-chain
R4G2F6,yes,full_seq,93,Long-chain,Long-chain
R4G2T5,yes,full_seq,93,Long-chain,Long-chain
R4G7G5,yes,full_seq,93,Long-chain,Long-chain
A7X3Q4,yes,full_seq,84,Non-standard,Non-standard
A7X3T2,yes,full_seq,94,Plesiotypic,Plesiotypic
A7X3U0,yes,full_seq,94,Plesiotypic,Plesiotypic
A7X6J0,yes,full_seq,86,Non-standard,Non-standard
F8J2B3,yes,full_seq,108,Long-chain,Long-chain
F8J2D6,yes,full_seq,108,Non-standard,Non-standard
F8J2D7,yes,full_seq,108,Long-chain,Long-chain
F8J2D8,yes,full_seq,92,Non-standard,Long-chain
F8J2D9,yes,full_seq,108,Long-chain,Long-chain
F8J2E1,yes,full_seq,92,Long-chain,Long-chain
F8J2E2,yes,full_seq,92,Long-chain,Long-chain
F8J2E3,yes,full_seq,88,Non-standard,Non-standard
F8J2E5,yes,full_seq,92,Long-chain,Long-chain
F8J2E6,yes,full_seq,88,Long-chain,Long-chain
F8J2E7,yes,full_seq,92,Long-chain,Long-chain
F8J2E8,yes,full_seq,88,Non-standard,Non-standard
F8J2E9,yes,full_seq,108,Long-chain,Long-chain
F8J2F0,yes,full_seq,92,Long-chain,Long-chain
F8J2F1,yes,full_seq,88,Long-chain,Long-chain
F8J2F2,yes,full_seq,88,Long-chain,Long-chain
F8J2G3,yes,full_seq,81,Short-chain,Short-chain
F8J2G5,yes,full_seq,78,Short-chain,Short-chain
F8J2G7,yes,full_seq,86,Non-standard,Non-standard
F8QZ63,yes,full_seq,78,Short-chain,Short-chain
R4FJQ3,yes,full_seq,93,Long-chain,Long-chain
R4G2U8,yes,full_seq,94,Long-chain,Long-chain
R4G7H1,yes,full_seq,106,Long-chain,Long-chain
A7X3M9,yes,full_seq,85,Plesiotypic,Plesiotypic
A7X3P2,yes,full_seq,80,Non-standard,Non-standard
A7X3P8,yes,full_seq,77,Non-standard,Non-standard
R4FJR7,yes,full_seq,79,Short-chain,Short-chain
R4G2G6,yes,full_seq,79,Short-chain,Short-chain
R4G2G7,yes,full_seq,81,Short-chain,Short-chain
R4G2G8,yes,full_seq,95,Long-chain,Long-chain
R4G2G9,yes,full_seq,92,Long-chain,Long-chain
R4G2W0,yes,full_seq,92,Long-chain,Long-chain
R4G7H5,yes,full_seq,79,Short-chain,Short-chain
None|Gaga_8|Gallus_gallus,yes,full_seq,109,Ly-6,Ly-6
None|Gaga_3|Gallus_gallus,yes,full_seq,127,Ly-6,Ly-6
None|Gaga_1|Gallus_gallus,yes,full_seq,122,Ly-6,Ly-6
None|Gaga_4|Gallus_gallus,yes,full_seq,126,Ly-6,Ly-6
None|Gaga_6|Gallus_gallus,yes,full_seq,126,Ly-6,Ly-6
None|Gaga_7|Gallus_gallus,yes,full_seq,126,Ly-6,Ly-6
None|Gaga_5|Gallus_gallus,yes,full_seq,127,Ly-6,Ly-6
None|Gaga_2|Gallus_gallus,yes,full_seq,127,Ly-6,Ly-6
NCBI|GLOIN_GHUB01014927.1_176_415|Gloydius_intermedius,no,mature_seq_fallback,59,Plesiotypic,Plesiotypic
NCBI|GLOIN_GHUB01014925.1_176_436|Gloydius_intermedius,no,mature_seq_fallback,66,Non-standard,Plesiotypic
NCBI|GLOIN_GHUB01072089.1_C300_49|Gloydius_intermedius,no,mature_seq_fallback,65,Plesiotypic,Plesiotypic
NCBI|GLOIN_GHUB01143089.1_C464_201|Gloydius_intermedius,no,mature_seq_fallback,67,Plesiotypic,Plesiotypic
None|Helicops_leopardinus_unigene312780|Helicops_leopardinus,no,mature_seq_fallback,61,Non-standard,Non-standard
None|Helicops_leopardinus_unigene488904|Helicops_leopardinus,yes,full_seq,82,Non-standard,Non-standard
None|Helicops_leopardinus_unigene312792|Helicops_leopardinus,yes,full_seq,82,Non-standard,Non-standard
NCBI|HELLE_OL366256.1_49_246|Helicops_leopardinus,yes,full_seq,87,Non-standard,Non-standard
NCBI|HELLE_OL366263.1_1_237|Helicops_leopardinus,yes,full_seq,79,Non-standard,Non-standard
None|Helicops_leopardinus_unigene57119|Helicops_leopardinus,no,mature_seq_fallback,61,Non-standard,Non-standard
NCBI|HELLE_OL366259.1_1_249|Helicops_leopardinus,yes,full_seq,83,Non-standard,Non-standard
NCBI|HELLE_OL366262.1_1_258|Helicops_leopardinus,yes,full_seq,87,Non-standard,Non-standard
None|Helicops_leopardinus_unigene312798|Helicops_leopardinus,no,mature_seq_fallback,61,Non-standard,Non-standard
None|Helicops_leopardinus_unigene490899|Helicops_leopardinus,no,mature_seq_fallback,61,Non-standard,Non-standard
NCBI|HELLE_OL366260.1_1_243|Helicops_leopardinus,yes,full_seq,82,Non-standard,Non-standard
None|Helicops_leopardinus_unigene312779|Helicops_leopardinus,no,mature_seq_fallback,56,Non-standard,Non-standard
None|Helicops_leopardinus_unigene488093|Helicops_leopardinus,no,mature_seq_fallback,56,Non-standard,Non-standard
B3EWH9,no,mature_seq_fallback,61,Short-chain,Short-chain
C0HJT5,no,mature_seq_fallback,65,Short-chain,Short-chain
P01402,no,mature_seq_fallback,57,Non-standard,Non-standard
P01425,no,mature_seq_fallback,61,Short-chain,Short-chain
P01433,no,mature_seq_fallback,61,Short-chain,Short-chain
P01471,no,mature_seq_fallback,61,Short-chain,Short-chain
P0DQH2,no,mature_seq_fallback,57,Short-chain,Short-chain
P24776,no,mature_seq_fallback,61,Short-chain,Short-chain
P24777,no,mature_seq_fallback,61,Short-chain,Short-chain
P24778,no,mature_seq_fallback,63,Short-chain,Short-chain
P25676,no,mature_seq_fallback,61,Short-chain,Short-chain
R4FJX3,yes,full_seq,107,Long-chain,Long-chain
R4G2H6,yes,full_seq,81,Short-chain,Short-chain
R4G2H7,yes,full_seq,105,Long-chain,Long-chain
R4G7I5,yes,full_seq,81,Short-chain,Short-chain
R4G7I7,yes,full_seq,93,Long-chain,Long-chain
NCBI|HETNA_OL366266.1_1_249|Heterodon_nasicus,yes,full_seq,83,Non-standard,Non-standard
None|Heterodon_nasicus_unigene14895|Heterodon_nasicus,no,mature_seq_fallback,61,Non-standard,Non-standard
None|Heterodon_nasicus_unigene2480|Heterodon_nasicus,no,mature_seq_fallback,61,Non-standard,Non-standard
None|Heterodon_nasicus_unigene384518|Heterodon_nasicus,no,mature_seq_fallback,61,Non-standard,Non-standard
None|Heterodon_nasicus_unigene617783|Heterodon_nasicus,no,mature_seq_fallback,61,Non-standard,Non-standard
E5RGJ8,yes,full_seq,100,Ly-6,Ly-6
H0YB12,no,mature_seq_fallback,72,Ly-6,Ly-6
O43653,yes,full_seq,114,Ly-6,Ly-6
O94772,yes,full_seq,140,Ly-6,Ly-6
P0DP57,yes,full_seq,97,Ly-6,Ly-6
P0DP58,yes,full_seq,116,Ly-6,Ly-6
P55000,yes,full_seq,103,Ly-6,Ly-6
Q14210,yes,full_seq,128,Ly-6,Ly-6
Q16553,yes,full_seq,131,Ly-6,Ly-6
Q17RY6,yes,full_seq,165,Ly-6,Ly-6
Q17RY6-2,no,mature_seq_fallback,88,Ly-6,Ly-6
Q6UXB3,yes,full_seq,125,Ly-6,Ly-6
Q8IV16,yes,full_seq,184,Ly-6,Ly-6
NCBI|NP_001153826.1|Homo_sapiens,yes,full_seq,120,Ly-6,Ly-6
None|Hosa_13|Homo_sapiens,yes,full_seq,138,Ly-6,Ly-6
NCBI|NP_076435.1|Homo_sapiens,yes,full_seq,131,Ly-6,Ly-6
R4FIP4,yes,full_seq,81,Short-chain,Short-chain
R4FIQ0,yes,full_seq,93,Long-chain,Long-chain
R4FK28,yes,full_seq,92,Long-chain,Long-chain
A8HDJ9,yes,full_seq,81,Short-chain,Short-chain
None|Hcur_SS00042983_m1|Hydrophis_curtus,yes,full_seq,81,Short-chain,Short-chain
None|Hcur_superscaf_587_797385_795811|Hydrophis_curtus,yes,full_seq,93,Long-chain,Long-chain
P25494,no,mature_seq_fallback,60,Short-chain,Short-chain
P62376,no,mature_seq_fallback,60,Short-chain,Short-chain
Q8UW27,yes,full_seq,81,Short-chain,Short-chain
Q8UW28,yes,full_seq,92,Long-chain,Long-chain
Q8UW29,yes,full_seq,92,Long-chain,Long-chain
P01437,no,mature_seq_fallback,60,Short-chain,Short-chain
P68413,no,mature_seq_fallback,60,Short-chain,Short-chain
P68415,no,mature_seq_fallback,60,Short-chain,Short-chain
P01380,no,mature_seq_fallback,70,Long-chain,Long-chain
P01381,no,mature_seq_fallback,72,Long-chain,Long-chain
A0A098M253,yes,full_seq,84,Non-standard,Non-standard
P0C8R6,no,mature_seq_fallback,69,Non-standard,Short-chain
P0C8R7,no,mature_seq_fallback,69,Non-standard,Short-chain
P0C8R8,no,mature_seq_fallback,69,Non-standard,Short-chain
P10455,yes,full_seq,83,Short-chain,Short-chain
P10456,yes,full_seq,83,Short-chain,Short-chain
P10457,yes,full_seq,83,Short-chain,Short-chain
Q9YGC7,yes,full_seq,83,Short-chain,Short-chain
P10458,no,mature_seq_fallback,62,Short-chain,Short-chain
P25495,no,mature_seq_fallback,62,Short-chain,Short-chain
P25496,no,mature_seq_fallback,62,Short-chain,Short-chain
P10459,yes,full_seq,83,Short-chain,Short-chain
P10460,no,mature_seq_fallback,62,Short-chain,Short-chain
Q9YGC2,yes,full_seq,83,Short-chain,Short-chain
Q9YGC4,yes,full_seq,83,Short-chain,Short-chain
Q9YGW8,yes,full_seq,83,Short-chain,Short-chain
Q9YGW9,yes,full_seq,83,Short-chain,Short-chain
P01379,no,mature_seq_fallback,66,Long-chain,Long-chain
P60775,yes,full_seq,83,Short-chain,Short-chain
Q7T2I5,yes,full_seq,83,Short-chain,Short-chain
Q90VW1,yes,full_seq,83,Short-chain,Short-chain
Q9YGX1,yes,full_seq,83,Short-chain,Short-chain
A7X3R6,yes,full_seq,85,Plesiotypic,Plesiotypic
NCBI|MALIN_GFTV01000051.1_C343_146|Malpolon_insignitus,no,mature_seq_fallback,66,Long-chain,Long-chain
NCBI|MALMO_OL366269.1_1_252|Malpolon_monspessulanus,yes,full_seq,84,Non-standard,Plesiotypic
None|Malpolon_monspessulanus_unigene50403|Malpolon_monspessulanus,no,mature_seq_fallback,62,Non-standard,Plesiotypic
A0A024AXD8,yes,full_seq,104,Long-chain,Long-chain
A0A024AXH2,yes,full_seq,104,Long-chain,Long-chain
A0A024AXY1,yes,full_seq,103,Long-chain,Long-chain
A0A024AYC2,yes,full_seq,83,Short-chain,Short-chain
F5CPD1,yes,full_seq,82,Short-chain,Short-chain
F5CPD2,yes,full_seq,83,Short-chain,Short-chain
F5CPD3,yes,full_seq,85,Short-chain,Short-chain
F5CPD4,yes,full_seq,84,Plesiotypic,Plesiotypic
F5CPD5,yes,full_seq,81,Short-chain,Short-chain
F5CPD6,yes,full_seq,83,Short-chain,Short-chain
F5CPD7,yes,full_seq,83,Short-chain,Short-chain
F5CPD8,yes,full_seq,81,Short-chain,Short-chain
F5CPD9,yes,full_seq,83,Short-chain,Short-chain
F5CPE0,yes,full_seq,80,Short-chain,Short-chain
F5CPE1,yes,full_seq,83,Short-chain,Short-chain
F5CPE2,yes,full_seq,82,Short-chain,Short-chain
F5CPE3,yes,full_seq,74,Short-chain,Short-chain
F5CPE4,yes,full_seq,83,Short-chain,Short-chain
F5CPE5,yes,full_seq,86,Short-chain,Short-chain
F5CPE6,yes,full_seq,84,Short-chain,Short-chain
F5CPE7,yes,full_seq,81,Short-chain,Short-chain
NCBI|MICAL_JG743131.1_7_255|Micrurus_altirostris,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|MICAL_JG743827.1_16_264|Micrurus_altirostris,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|MICAL_JG744005.1_7_258|Micrurus_altirostris,no,mature_seq_fallback,63,Non-standard,Short-chain
A0A0H4BEG5,yes,full_seq,82,Short-chain,Short-chain
A0A0H4BJD8,yes,full_seq,98,Short-chain,Short-chain
A0A0H4BLZ7,no,mature_seq_fallback,62,Short-chain,Short-chain
A0A0H4IRA8,yes,full_seq,87,Short-chain,Short-chain
A0A0H4IS74,yes,full_seq,79,Short-chain,Short-chain
A0A0H4IUN8,yes,full_seq,87,Short-chain,Short-chain
A0A0H4IVP7,yes,full_seq,81,Short-chain,Short-chain
A0A0H4J512,yes,full_seq,81,Short-chain,Short-chain
C0HK04,no,mature_seq_fallback,66,Short-chain,Short-chain
C6JUP0,yes,full_seq,82,Short-chain,Short-chain
C6JUP1,yes,full_seq,84,Short-chain,Short-chain
C6JUP2,yes,full_seq,88,Short-chain,Short-chain
C6JUP3,yes,full_seq,82,Short-chain,Short-chain
C6JUP4,yes,full_seq,79,Short-chain,Short-chain
C6JUP5,yes,full_seq,79,Short-chain,Short-chain
P58370,yes,full_seq,86,Plesiotypic,Plesiotypic
Q9PRI1,yes,full_seq,78,Short-chain,Short-chain
Q9PUB7,yes,full_seq,78,Short-chain,Short-chain
NCBI|MICCO_IACJ01133145.1_C312_76|Micrurus_corallinus,no,mature_seq_fallback,58,Short-chain,Short-chain
NCBI|MICCO_IACJ01130835.1_35_289|Micrurus_corallinus,no,mature_seq_fallback,64,Short-chain,Short-chain
NCBI|MICCO_IACJ01130841.1_35_289|Micrurus_corallinus,no,mature_seq_fallback,64,Short-chain,Short-chain
NCBI|MICCO_IACJ01157475.1_C340_104|Micrurus_corallinus,no,mature_seq_fallback,78,Short-chain,Short-chain
NCBI|MICCO_FL590874.1_84_269|Micrurus_corallinus,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|MICCO_FL590954.1_1_240|Micrurus_corallinus,no,mature_seq_fallback,59,Short-chain,Short-chain
NCBI|MICCO_IACJ01078504.1_47_283|Micrurus_corallinus,no,mature_seq_fallback,58,Short-chain,Short-chain
NCBI|MICCO_IACJ01115251.1_10_243|Micrurus_corallinus,no,mature_seq_fallback,57,Short-chain,Short-chain
NCBI|MICCO_IACJ01122327.1_C319_116|Micrurus_corallinus,no,mature_seq_fallback,68,Short-chain,Short-chain
NCBI|MICCO_IACJ01122328.1_C319_116|Micrurus_corallinus,no,mature_seq_fallback,68,Short-chain,Short-chain
NCBI|MICCO_IACJ01122330.1_C352_116|Micrurus_corallinus,no,mature_seq_fallback,58,Short-chain,Short-chain
NCBI|MICCO_IACJ01155703.1_C232_2|Micrurus_corallinus,no,mature_seq_fallback,56,Short-chain,Short-chain
